Error 4 | Link failure. | 1970-01-01 00:00:48
Error 1 | Link is down. | 1970-01-01 00:00:48
Error 4 | Link failure. | 1970-01-01 00:00:48
Error 1 | Link is down. | 1970-01-01 00:00:49
Error 4 | Link failure. | 1970-01-01 00:00:49
Error 1 | Link is down. | 1970-01-01 00:00:49
Error 4 | Link failure. | 1970-01-01 00:00:49
Error 1 | Link is down. | 1970-01-01 00:00:49
Error 4 | Link failure. | 1970-01-01 00:00:49
Error 1 | Link is down. | 1970-01-01 00:00:49
Error 4 | Link failure. | 1970-01-01 00:00:49
Error 1 | Link is down. | 1970-01-01 00:00:50
Error 4 | Link failure. | 1970-01-01 00:00:50
Error 1 | Link is down. | 1970-01-01 00:00:50
Error 4 | Link failure. | 1970-01-01 00:00:50
Error 1 | Link is down. | 1970-01-01 00:00:50
Error 4 | Link failure. | 1970-01-01 00:00:50
Error 1 | Link is down. | 1970-01-01 00:00:50
Error 4 | Link failure. | 1970-01-01 00:00:50
Error 1 | Link is down. | 1970-01-01 00:00:51
Error 4 | Link failure. | 1970-01-01 00:00:51
Error 1 | Link is down. | 1970-01-01 00:00:51
Error 4 | Link failure. | 1970-01-01 00:00:51
Error 1 | Link is down. | 1970-01-01 00:00:51
Error 4 | Link failure. | 1970-01-01 00:00:51
Error 1 | Link is down. | 1970-01-01 00:00:51
Error 4 | Link failure. | 1970-01-01 00:00:51
Error 1 | Link is down. | 1970-01-01 00:00:52
Error 4 | Link failure. | 1970-01-01 00:00:52
Error 1 | Link is down. | 1970-01-01 00:00:52
Error 4 | Link failure. | 1970-01-01 00:00:52
Error 1 | Link is down. | 1970-01-01 00:00:52
Error 4 | Link failure. | 1970-01-01 00:00:52
Error 1 | Link is down. | 1970-01-01 00:00:52
Error 4 | Link failure. | 1970-01-01 00:00:52
Error 1 | Link is down. | 1970-01-01 00:00:53
Error 4 | Link failure. | 1970-01-01 00:00:53
Error 1 | Link is down. | 1970-01-01 00:00:53
Error 4 | Link failure. | 1970-01-01 00:00:53
Error 1 | Link is down. | 1970-01-01 00:00:53
Error 4 | Link failure. | 1970-01-01 00:00:53
Error 1 | Link is down. | 1970-01-01 00:00:53
Error 4 | Link failure. | 1970-01-01 00:00:53
Error 1 | Link is down. | 1970-01-01 00:00:54
Error 4 | Link failure. | 1970-01-01 00:00:54
Error 1 | Link is down. | 1970-01-01 00:00:54
Error 4 | Link failure. | 1970-01-01 00:00:54
Error 1 | Link is down. | 1970-01-01 00:00:54
Error 4 | Link failure. | 1970-01-01 00:00:54
Error 1 | Link is down. | 1970-01-01 00:00:54
Error 4 | Link failure. | 1970-01-01 00:00:54
Error 1 | Link is down. | 1970-01-01 00:00:55
Error 4 | Link failure. | 1970-01-01 00:00:55
Error 1 | Link is down. | 1970-01-01 00:00:55
Error 4 | Link failure. | 1970-01-01 00:00:55
Error 1 | Link is down. | 1970-01-01 00:00:55
Error 4 | Link failure. | 1970-01-01 00:00:55
Error 1 | Link is down. | 1970-01-01 00:00:55
Error 4 | Link failure. | 1970-01-01 00:00:55
Error 1 | Link is down. | 1970-01-01 00:00:56
Error 4 | Link failure. | 1970-01-01 00:00:56
Error 1 | Link is down. | 1970-01-01 00:00:56
Error 4 | Link failure. | 1970-01-01 00:00:56
Error 1 | Link is down. | 1970-01-01 00:00:56
Error 4 | Link failure. | 1970-01-01 00:00:56
Error 1 | Link is down. | 1970-01-01 00:00:57
Error 4 | Link failure. | 1970-01-01 00:00:57
Error 1 | Link is down. | 1970-01-01 00:00:57
Error 4 | Link failure. | 1970-01-01 00:00:57
Error 1 | Link is down. | 1970-01-01 00:00:57
Error 4 | Link failure. | 1970-01-01 00:00:57
Error 1 | Link is down. | 1970-01-01 00:00:57
Error 4 | Link failure. | 1970-01-01 00:00:57
Error 1 | Link is down. | 1970-01-01 00:00:58
Error 4 | Link failure. | 1970-01-01 00:00:58
Error 1 | Link is down. | 1970-01-01 00:00:58
Error 4 | Link failure. | 1970-01-01 00:00:58
Error 1 | Link is down. | 1970-01-01 00:00:58
Error 4 | Link failure. | 1970-01-01 00:00:58
Error 1 | Link is down. | 1970-01-01 00:00:58
Error 4 | Link failure. | 1970-01-01 00:00:58
Error 1 | Link is down. | 1970-01-01 00:00:59
Error 4 | Link failure. | 1970-01-01 00:00:59
Error 1 | Link is down. | 1970-01-01 00:00:59
Error 4 | Link failure. | 1970-01-01 00:00:59
Error 1 | Link is down. | 1970-01-01 00:00:59
Error 4 | Link failure. | 1970-01-01 00:00:59
Error 1 | Link is down. | 1970-01-01 00:00:59
Error 4 | Link failure. | 1970-01-01 00:00:59
Error 1 | Link is down. | 1970-01-01 00:01:00
Error 4 | Link failure. | 1970-01-01 00:01:00
